epsilon,decoder_odd_raw,decoder_even_raw,first_order_mode_odd,nonsmooth_quadratic_odd,smooth_cubic_odd,decoder_odd_over_epsilon,quadratic_odd_over_epsilon2,cubic_odd_over_epsilon3
0.25,100.0,50.0,0.3125,0.0625,0.01171875,400.0,1.0,0.75
0.125,50.0,25.0,0.15625,0.015625,0.00146484375,400.0,1.0,0.75
0.0625,25.0,12.5,0.078125,0.00390625,0.00018310546875,400.0,1.0,0.75
0.03125,12.5,6.25,0.0390625,0.0009765625,2.288818359375e-05,400.0,1.0,0.75
0.015625,6.25,3.125,0.01953125,0.000244140625,2.86102294921875e-06,400.0,1.0,0.75
0.0078125,3.125,1.5625,0.009765625,6.103515625e-05,3.5762786865234375e-07,400.0,1.0,0.75
0.00390625,1.5625,0.78125,0.0048828125,1.52587890625e-05,4.470348358154297e-08,400.0,1.0,0.75
0.001953125,0.78125,0.390625,0.00244140625,3.814697265625e-06,5.587935447692871e-09,400.0,1.0,0.75
0.0009765625,0.390625,0.1953125,0.001220703125,9.5367431640625e-07,6.984919309616089e-10,400.0,1.0,0.75
0.00048828125,0.1953125,0.09765625,0.0006103515625,2.384185791015625e-07,8.731149137020111e-11,400.0,1.0,0.75
0.000244140625,0.09765625,0.048828125,0.00030517578125,5.960464477539063e-08,1.0913936421275139e-11,400.0,1.0,0.75
0.0001220703125,0.048828125,0.0244140625,0.000152587890625,1.4901161193847656e-08,1.3642420526593924e-12,400.0,1.0,0.75


